absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
44,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",48,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",9,"['ban', 'travel', 'trump', 'immigration', 'order', 'court', 'trumps', 'president', 'judge', 'appeal', 'federal', 'halt']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[818941136, 1255197673, 2457352302, 2820806900, 2878724005, 4094126121, 751688651956887552]"
46,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",50,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",10,"['nobannowall', 'muslimban', 'art_bxlart', 'refugeeswelcome', 'nomuslimban', 'ban']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[30706364, 248811717, 573842268, 2398502748, 3478662552, 710568045874438146, 739200802582081536]"
48,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",121,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",0,"['ban', 'trump', 'travel', 'trumps', 'donald', 'court', 'muslim', 'immigration', 'president', 'order', 'judge', 'white_house', 'appeal', 'federal']",1,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'president', 'judge', 'muslim', 'white_house', 'appeal', 'federal', 'rule']","[17446621, 20177423, 3083374722]"
49,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",53,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",6,"['muslimban', 'nobannowall', 'trump', 'muslim', 'refugee']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[19251971, 82665534, 143104075, 515942394, 612197548, 3066118000, 3299585227, 4765158912, 4877237981, 741014536103301121]"
50,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",55,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",4,"['ban', 'muslim', 'country', 'immigration', 'travelban', 'maga', 'order', 'comment_federal', 'tweet_message', 'judge', 'trump', 'refugee']",13,"['ban', 'travel', 'immigration', 'trump', 'order', 'judge', 'court', 'president', 'trumps']","[26487169, 341073304, 4569259876]"
51,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",56,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",4,"['ban', 'muslim', 'country', 'immigration', 'travelban', 'maga', 'order', 'comment_federal', 'tweet_message', 'judge', 'trump', 'refugee']",13,"['ban', 'travel', 'immigration', 'trump', 'order', 'judge', 'court', 'president', 'trumps']","[320629837, 573277220, 955841496, 1195143002, 1494835716, 2323783152, 2712763860, 733467830478245890, 821465419307511809, 828364058499940352]"
52,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",57,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",6,"['muslimban', 'nobannowall', 'trump', 'muslim', 'refugee']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[20657302, 43424951, 245531160, 500496955, 735999643, 2702394775, 3097641152, 4378798994, 807810340339744768, 807810340339744800]"
53,0,"['muslimban', 'trump', 'muslim', 'ban', 'nobannowall', 'refugee', 'refugeeswelcome', 'law', 'thcircuit', 'stand']",33,3,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'trump']",6,"['muslimban', 'nobannowall', 'trump', 'muslim', 'refugee']",2,"['muslimban', 'nobannowall', 'muslim', 'refugee', 'refugeeswelcome', 'ban', 'trump', 'people']","[15878034, 23835021, 33806698, 37332725, 63043668, 71574379, 81245362, 84128678, 84174028, 84498743, 85583894, 102651488, 138331342, 140171995, 187067097, 222122852, 228238479, 257824868, 266437259, 303081181, 318785653, 343473755, 362694376, 385192652, 458959009, 481809371, 559173692, 889068301, 963437460, 1015899374, 1035919266, 1199866860, 1251644070, 1343828558, 1663608572, 1710505440, 1921509044, 1969254588, 2163430424, 2235714604, 2335844449, 2410055346, 2552422374, 2582403084, 2674518384, 2832321597, 2941316370, 3241190188, 3302725796, 3306101853, 3432973581, 3461696174, 3700366215, 4158636562, 4356951381, 4358918712, 4464513445, 710123993299357696, 745999425386885121, 748599497975021569, 749323790916657152, 753322826678013953, 806250338323939328, 809924490297745408, 815445236784787456]"
54,6,"['muslimban', 'nobannowall', 'immigration', 'tntweeter', 'uslatino', 'nomuslimban']",217,14,"['nobannowall', 'tntweeter', 'uslatino', 'heretostay', 'latism', 'uniteblue', 'inmigracion', 'notmore', 'niunomas', 'womensmarch', 'timeisnow', 'riseup', 'standuptotrump', 'nowallnoban', 'theresistance', 'refugeeswelcome', 'presidentsday', 'migrantenkriminalitat']",14,"['nobannowall', 'inmigracion_tntweeter', 'tntweeter', 'uslatino_heretostay', 'uslatino', 'uniteblue_notmore', 'immigration', 'uniteblue', 'heretostay', 'latism', 'inmigracion', 'nobannowall_latism', 'notmore', 'tntweeter_uslatino', 'theresistance', 'inmigracion_tntweeter_uslatino_heretostay', 'timeisnow_latism', 'niunomas', 'inmigracion_heretostay', 'uslatino_tntweeter', 'niunomas_nobannowall', 'resist', 'timeisnow', 'riseup', 'uniteblue_notmore_niunomas_nobannowall', 'neveragain_riseup']",9,"['inmigracion_tntweeter', 'tntweeter', 'immigration', 'uslatino_heretostay', 'uslatino', 'uniteblue_notmore', 'latism', 'uniteblue', 'inmigracion', 'nobannowall_latism', 'notmore', 'tntweeter_uslatino', 'inmigracion_tntweeter_uslatino_heretostay', 'timeisnow_latism', 'niunomas', 'uslatino_tntweeter', 'inmigracion_heretostay', 'niunomas_nobannowall', 'timeisnow', 'uniteblue_notmore_niunomas_nobannowall', 'moment_ago', 'notmore_uniteblue']","[24645871, 142979922, 284090190, 358005482, 1511154877, 1692227370, 1939212224, 1947549415, 2178339595, 2274974018, 2282990761, 2296218770, 2308943065, 2321479686, 2322972280, 2331266245, 2334894821, 2347832648, 2351157576, 2358140324, 2358613165, 2359310914, 2367572508, 2383802631, 2864321805, 2994390921, 3153083326, 3241468546, 740735647833432064]"
56,11,"['ban', 'travel', 'trump', 'immigration', 'order', 'trumps', 'court', 'judge', 'president', 'appeal', 'federal', 'rule']",61,12,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'muslim', 'judge', 'president', 'appeal', 'federal', 'block']",9,"['ban', 'travel', 'trump', 'immigration', 'order', 'court', 'trumps', 'president', 'judge', 'appeal', 'federal', 'halt']",1,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'order', 'court', 'president', 'judge', 'muslim', 'white_house', 'appeal', 'federal', 'rule']","[16374678, 516783934, 3038474730]"
