absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
73,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",65,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[84653850, 113061485, 634912541]"
74,4,"['maga', 'muslimban', 'trump', 'migrant', 'europe', 'vet']",66,11,"['trump', 'ban', 'resist', 'muslimban', 'immigration', 'trumpleak', 'travel', 'theresistance', 'trumps', 'order', 'nobannowall', 'impeachtrump', 'president', 'resistance', 'stopsession', 'muslim']",2,"['muslimban', 'maga', 'terror_attack', 'refugee', 'trump']",5,"['worth', 'womensmarch_democrats', 'maga_tcot', 'douchebag_nowall', 'liberals_pathetic', 'tcot', 'pathetic']","[408889456, 1021868336, 1666504591, 2411379535]"
76,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",68,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[269199676, 818151340710969344, 818154258310844416, 818160035775873025]"
77,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",70,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[20010422, 251509876, 380128157, 562063761, 1759891873]"
78,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",71,11,"['trump', 'ban', 'resist', 'muslimban', 'immigration', 'trumpleak', 'travel', 'theresistance', 'trumps', 'order', 'nobannowall', 'impeachtrump', 'president', 'resistance', 'stopsession', 'muslim']",9,"['muslimban', 'resist', 'trumpleak', 'theresistance', 'trump', 'impeachtrump', 'resistance', 'nobannowall', 'resistance_theresistance', 'nodapl', 'break', 'session']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[19879777, 78058860, 620489159, 2167938952, 743436854129790976, 784758951468412929]"
79,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",72,11,"['trump', 'ban', 'resist', 'muslimban', 'immigration', 'trumpleak', 'travel', 'theresistance', 'trumps', 'order', 'nobannowall', 'impeachtrump', 'president', 'resistance', 'stopsession', 'muslim']",6,"['ban', 'travel', 'trump', 'trumps', 'immigration', 'president', 'order', 'executive_order', 'sally_yate', 'attorney_general', 'protest']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[184739178, 441457447, 1355218452]"
81,5,"['nobannowall', 'muslimban', 'student', 'iranian', 'letthemin', 'support', 'standuptotrump']",73,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",11,"['muslimban', 'studentban', 'nobannowall', 'notbanstudentvisa', 'worth_worldwide', 'iranian_student', 'notbanstudentvisa_studentban', 'studentban_plz', 'beautiful_mind', 'letthemin_respect', 'studentban_notbanstudentvisa', 'letthemin', 'notaterrorist_studentban', 'support', 'respect']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[34040803, 123910041, 1016864882]"
82,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",74,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[31310187, 2776711205, 807810340339744768, 807810340339744800]"
83,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",75,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",6,"['ban', 'travel', 'trump', 'trumps', 'immigration', 'president', 'order', 'executive_order', 'sally_yate', 'attorney_general', 'protest']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[1494835716, 2712763860, 769380097359024100, 778929359826456577]"
84,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",76,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[257824868, 745999425386885121, 782651518092611584]"
