absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
37,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",42,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[2953201, 542962969, 787944328970788866]"
38,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",43,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[709313, 14362404, 16041298, 95592810, 112886485, 487610242, 1898903101]"
39,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",151,7,"['muslimban', 'muslim', 'maga', 'travelban']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[33904581, 36071847, 857001662, 787416582754631700]"
40,2,"['muslimban', 'maga', 'travelban', 'islam', 'usa', 'trump', 'liberal', 'americafirst', 'immigrationban', 'tcot', 'terrorist']",176,7,"['muslimban', 'muslim', 'maga', 'travelban']",1,"['muslimban', 'maga', 'americafirst', 'islam', 'wahhabism_daily', 'muslim', 'usa', 'buildthewall', 'donaldtrump', 'wahhabism', 'tcot', 'support']",0,"['muslimban', 'americafirst', 'maga', 'islam', 'tcot', 'usa', 'wahhabism_daily', 'dts_tcot', 'isis']","[19013697, 34439235, 46923727, 70125620, 95809954, 226299669, 260387938, 277185487, 301416337, 392848910, 856933050, 891661093, 1412784253, 1666504591, 2174781979, 2243530995, 2344218308, 2398300866, 2411379535, 2890165361, 2892478027, 725348521436655616, 746442921998749696, 746853969943724032, 758720861167812608, 759232224034164736, 765306808978202626, 823238195508719617, 828744559484137472]"
42,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",44,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",4,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'white_house', 'attack']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[349803020, 1452428454, 4161801792]"
43,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",45,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",6,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'federal', 'block', 'rule', 'white_house', 'halt', 'justice_department']","[462104542, 2678460650, 781555354207416321]"
45,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",48,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[818941136, 1255197673, 2457352302, 2820806900, 2878724005, 4094126121, 751688651956887552]"
49,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",49,2,"['nobannowall', 'muslimban', 'tntweeter', 'uslatino', 'heretostay', 'latism', 'inmigracion', 'notmore', 'immigration', 'refugeeswelcome', 'nomuslimban', 'refugee', 'niunomas', 'timeisnow', 'stand']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",13,"['nobannowall', 'muslimban', 'heretostay', 'nomuslimban', 'refugeeswelcome', 'refugee', 'protest']","[30706364, 248811717, 573842268, 2398502748, 3478662552, 710568045874438146, 739200802582081536]"
50,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",54,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[17446621, 20177423, 3083374722]"
51,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",55,7,"['muslimban', 'muslim', 'maga', 'travelban']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[19251971, 82665534, 143104075, 515942394, 612197548, 3066118000, 3299585227, 4765158912, 4877237981, 741014536103301121]"
52,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",58,7,"['muslimban', 'muslim', 'maga', 'travelban']",11,"['ban', 'travel', 'order', 'immigration', 'trump', 'president', 'court', 'trumps', 'federal', 'judge', 'executive', 'muslim', 'halt']",12,"['travelban', 'maga', 'ban', 'trump', 'travel', 'immigration', 'country', 'buildthewall', 'immigrationban', 'support_leader', 'america', 'muslim', 'support', 'refugee', 'immigrationban_maga', 'president', 'liberal']","[26487169, 341073304, 4569259876]"
53,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",61,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[320629837, 573277220, 955841496, 1195143002, 1494835716, 2323783152, 2712763860, 733467830478245890, 821465419307511809, 828364058499940352]"
54,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",217,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[20657302, 43424951, 245531160, 500496955, 735999643, 2702394775, 3097641152, 4378798994, 807810340339744768, 807810340339744800]"
55,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",62,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[18165049, 26186655, 135342156, 146160591, 240812994, 242426145, 267935801, 805003357, 1155335864, 2357656989, 2421228369, 2962868158, 4709186883, 717032687643529216, 780524293172129792, 802355121191550976, 806274495669407744, 825744221344759810]"
56,8,"['tntweeter', 'uslatino', 'latism', 'immigration', 'inmigracion', 'uniteblue', 'niunomas', 'timeisnow', 'theresistance', 'altotrump', 'russian']",244,2,"['nobannowall', 'muslimban', 'tntweeter', 'uslatino', 'heretostay', 'latism', 'inmigracion', 'notmore', 'immigration', 'refugeeswelcome', 'nomuslimban', 'refugee', 'niunomas', 'timeisnow', 'stand']",0,"['inmigracion_tntweeter', 'tntweeter', 'uslatino_heretostay', 'uslatino', 'uniteblue_notmore', 'art_bxlart', 'nobannowall']",11,"['inmigracion_tntweeter', 'tntweeter', 'uslatino_heretostay', 'uslatino', 'uniteblue_notmore', 'latism']","[24645871, 142979922, 284090190, 358005482, 1511154877, 1692227370, 1939212224, 1947549415, 2178339595, 2274974018, 2282990761, 2296218770, 2308943065, 2321479686, 2322972280, 2331266245, 2334894821, 2347832648, 2351157576, 2358140324, 2358613165, 2359310914, 2367572508, 2383802631, 2864321805, 2994390921, 3153083326, 3241468546, 740735647833432064]"
58,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",64,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",6,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'federal', 'block', 'rule', 'white_house', 'halt', 'justice_department']","[16374678, 516783934, 3038474730]"
59,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",65,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[35606154, 104459389, 798350907159101442]"
61,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",66,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[42839772, 44105634, 2164321527, 2257859085]"
62,1,"['ban', 'trump', 'muslim', 'bannon', 'white', 'security', 'house', 'call', 'lie', 'attack', 'terrorism', 'head', 'general', 'miller']",67,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",4,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'white_house', 'attack']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[2311561, 19830783, 19833463, 27036811, 30199864, 68350943, 103378433, 107842391, 2814761729, 2821135623, 3313010039, 749981613593853956]"
63,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",68,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[197838315, 341601545, 595009255, 821511862881845200]"
65,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",69,7,"['muslimban', 'muslim', 'maga', 'travelban']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[334288260, 1042145826, 2217247936]"
66,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",70,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[244452577, 523085134, 2494833214]"
67,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",71,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[594886554, 905530344, 3757015887, 710738910725275648, 714235834463981568]"
68,2,"['muslimban', 'maga', 'travelban', 'islam', 'usa', 'trump', 'liberal', 'americafirst', 'immigrationban', 'tcot', 'terrorist']",72,7,"['muslimban', 'muslim', 'maga', 'travelban']",1,"['muslimban', 'maga', 'americafirst', 'islam', 'wahhabism_daily', 'muslim', 'usa', 'buildthewall', 'donaldtrump', 'wahhabism', 'tcot', 'support']",0,"['muslimban', 'americafirst', 'maga', 'islam', 'tcot', 'usa', 'wahhabism_daily', 'dts_tcot', 'isis']","[121108694, 140721535, 148058023, 350074813, 542428403, 925406383]"
69,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",74,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",6,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'federal', 'block', 'rule', 'white_house', 'halt', 'justice_department']","[7080552, 29465136, 4068337756, 4868688743, 4906718786]"
70,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",75,7,"['muslimban', 'muslim', 'maga', 'travelban']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[269199676, 3126563358, 785141716886093829, 797162317762990080, 817902968582377474, 818152237818122240]"
71,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",24,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",14,"['ban', 'travel', 'trump', 'donald', 'trumps', 'president', 'wall_street', 'court', 'judge', 'immigration', 'order', 'appeal', 'state_allow', 'boston_globe']","[863001163, 870872898, 870876488, 870879266, 870881976, 870882342, 870886394, 870886453, 870892134, 870895488, 870898004, 870898051, 870903090, 870906686, 870907736, 870912895, 896433678, 896440986, 896449622, 915468734, 915656912, 915722492, 915760574, 915807048, 915807342, 915812143, 915896065, 915915606, 915975206, 916004004, 916017960, 916037102, 916051280, 916185487, 916342638, 916490078, 929528022, 929532313, 929535824, 951795330, 951798776, 951825942, 953096516, 1091969084, 1091988979, 1092580321, 1092968340, 1093086042, 1093122954, 1094795100, 4431576263, 4496932162, 4501456696, 4506488051, 4577501358, 4577589252, 4697031619, 4697675496, 4698236432, 4699061804, 4710967996, 4717129347, 705010088587739136, 708109929941495809, 708153637780979712, 708168310307749889, 708204345469345792, 753111979355701248, 753118526911737856, 753124449491283968, 753135483530649600, 753146433897922560, 753245086503276545, 753257017985343488, 753261223056211968, 754526264065744896, 755773802613792769, 755801917125779457, 755807795702890496, 755808480037105664, 755814710847602688, 755820797202137088, 755848821448511488, 755853320858763264, 756235895880179712, 756249866553192448, 756264959336669184, 756271610244526080, 756286894376415232, 756303624167362560, 756337577960046593, 756369439541583872, 756399335533846528, 756423469265481728, 756482440215072768, 756727573401534464, 756773426640121856, 756842252295700480, 756867598743109632, 756875453483319296, 756881732826193921, 756891080294039553, 756891507173580800, 756891633086566400, 756893436091961345, 756896667174043648, 756904523189346304, 756905542979813376, 756909373197254656, 756911892535336960, 756912977866002433, 756915457672769536, 756916488829796352, 756919296312344576, 756922206555410432, 756925310289973249, 765572460586696704, 765676559256711168, 765807721782411264, 765809493590564864, 765812133221236736, 765838829454499841, 765857763712966657, 765877629308301312, 765881369943764992, 765890902317563904, 765895476755464192, 765907582259167233, 765909919019196416, 765910052708421632, 765914327887085568, 784263169996836900]"
72,1,"['ban', 'trump', 'muslim', 'bannon', 'white', 'security', 'house', 'call', 'lie', 'attack', 'terrorism', 'head', 'general', 'miller']",78,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",4,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'white_house', 'attack']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[14471411, 320540635, 2304071930]"
73,13,"['muslimban', 'board', 'visas', 'valid', 'airlinesnomuslimban', 'nobanjfk', 'traveler', 'court', 'aviation', 'rule', 'travel', 'judge', 'circuit', 'passenger', 'stay']",79,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[38363082, 176953436, 1481865216, 1624926602, 1653422442, 1874495306, 2244322316, 2258610236, 2421397093, 2455806548, 2533536294, 2600286068, 2633981594, 3154707827, 3228631089, 3230970725, 3254255787, 3257154182, 3324219924, 3327043767, 3345349378, 3349825024, 702573500360495104, 703163184106962948, 703576687871660032]"
74,11,"['muslimban', 'nobannowall', 'trump', 'muslim', 'ban', 'refugee', 'refugeeswelcome', 'protest', 'law', 'people', 'support']",80,2,"['nobannowall', 'muslimban', 'tntweeter', 'uslatino', 'heretostay', 'latism', 'inmigracion', 'notmore', 'immigration', 'refugeeswelcome', 'nomuslimban', 'refugee', 'niunomas', 'timeisnow', 'stand']",12,"['muslimban', 'nobannowall', 'trump', 'refugee', 'muslim', 'ban', 'refugeeswelcome', 'protest', 'congress']",13,"['nobannowall', 'muslimban', 'heretostay', 'nomuslimban', 'refugeeswelcome', 'refugee', 'protest']","[69450341, 497154452, 1150149296, 2901969397]"
75,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",81,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[1932657667, 1964314004, 2473045788, 2475411319, 2567774714, 3318068033, 4440817880]"
76,1,"['ban', 'trump', 'muslim', 'bannon', 'white', 'security', 'house', 'call', 'lie', 'attack', 'terrorism', 'head', 'general', 'miller']",82,9,"['trump', 'ban', 'president', 'order', 'court', 'people', 'security']",4,"['ban', 'trump', 'muslim', 'travel', 'trumps', 'white_house', 'attack']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[14202817, 20190741, 174059200]"
77,9,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'president', 'order', 'court', 'judge', 'appeal', 'donald', 'federal', 'block', 'rule', 'legal']",83,14,"['ban', 'travel', 'trump', 'immigration', 'trumps', 'order', 'court', 'judge', 'president', 'appeal', 'donald', 'federal']",10,"['ban', 'trump', 'travel', 'immigration', 'trumps', 'judge', 'order', 'president', 'court', 'donald', 'appeal', 'white_house', 'homeland_security', 'federal']",4,"['ban', 'trump', 'muslim', 'muslimban', 'refugee', 'trumps', 'order']","[19065989, 154228382, 4786763677, 712463864491872256]"
