absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
71,7,"['refugeeswelcome', 'refugee', 'immigration', 'stopislamofobia', 'travelban', 'migrantenkriminalitat', 'immigrant', 'fightfear', 'prouracisme']",73,6,"['refugeeswelcome', 'stopislamofobia', 'migrantenkriminalitat', 'prouracisme', 'feixismemaime', 'lluita', 'contra', 'internacional', 'racisme', 'jornada']",11,"['refugeeswelcome', 'travelban', 'maga', 'muslimban', 'tcot', 'pvv', 'islam', 'stopislamofobia', 'bordersclose']",0,"['travelban', 'refugeeswelcome', 'maga', 'trump', 'ban', 'refugee', 'noban', 'tcot', 'muslimban', 'islam', 'stopislamofobia', 'judge', 'muslim', 'humanright_fight']","[27522324, 61312554, 87042194, 225749611, 271623338, 847325940, 2211180738, 2356934593, 2935020087, 3290161704, 728645575558758403, 738333792008560641, 808071209455910912, 840139453641375748]"
72,6,"['ban', 'muslim', 'muslimban', 'trump', 'court', 'aclu']",75,3,"['muslimban', 'nobannowall', 'live', 'true']",7,"['muslimban', 'trump', 'radio_live', 'resist', 'stock_money', 'theresistance', 'trumprussia']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[500496955, 2702394775, 807810340339744800, 809518522489511936]"
73,11,"['nobannowall', 'muslimban', 'nomuslimban', 'immigrants', 'leftist', 'muslim', 'litigation', 'purge', 'immigration', 'heretostay']",76,4,"['travelban', 'refugee', 'immigration', 'refugeeswelcome', 'immigrant', 'muslimban', 'nobannowallnoraid', 'great', 'resisttrump', 'mondaymotivation', 'nobannowall', 'woman', 'resist']",9,"['ban', 'travel', 'trump', 'muslim']",11,"['shut_newyorkweather', 'york_city', 'newyorkweather', 'hate_fear', 'york', 'city', 'east_coast', 'deadly_east', 'coast_snowstorm', 'outdoor']","[26139323, 4889278415, 4905972502, 696794078915252224]"
74,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",77,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[524435492, 2331853451, 2605069205, 3119526652]"
76,11,"['nobannowall', 'muslimban', 'nomuslimban', 'immigrants', 'leftist', 'muslim', 'litigation', 'purge', 'immigration', 'heretostay']",78,3,"['muslimban', 'nobannowall', 'live', 'true']",7,"['muslimban', 'trump', 'radio_live', 'resist', 'stock_money', 'theresistance', 'trumprussia']",9,"['muslimban', 'nobannowall', 'immigration', 'tntweeter_uslatino']","[45805351, 79028016, 2707058534, 3086411087]"
77,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",79,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[3183011042, 4040356454, 4291483877, 4291826968, 4292285657, 4292420368, 4311027620, 4374463812, 4428480594, 4430769312, 4594844191, 4609793892, 4637575405, 702312482623393792, 718219857943093248, 731844183825092600, 732118984628166658]"
78,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",80,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[24924400, 62594204, 810156981998800897]"
79,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",81,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[16086928, 80163000, 136055810, 484237843, 816313821883146240]"
80,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",94,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[6509832, 134758540, 240649814, 299259954]"
81,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",82,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[1401130178, 2474129722, 767567215638052900]"
