absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
0,8,"['trump', 'ban', 'muslim', 'muslimban', 'nobannowall', 'protest', 'travel', 'country']",0,8,"['trump', 'ban', 'muslim', 'muslimban', 'nobannowall', 'protest', 'travel', 'country']",5,"['ban', 'trump', 'muslim', 'truth', 'protest_donald', 'muslimban', 'nobannowall', 'encourage_protest', 'protest', 'travel', 'list_tonight', 'country']",5,"['ban', 'trump', 'muslim', 'truth', 'protest_donald', 'muslimban', 'nobannowall', 'encourage_protest', 'protest', 'travel', 'list_tonight', 'country']","[24756838, 25073877, 110720467, 762809155, 1040006575, 1270267800, 1400238956, 1879748407, 2392875780, 3069279631, 760078912525402112, 777166073015611392, 805208954137669632, 817807226471477248, 825421424986710016]"
1,13,"['fact', 'muslimban', 'medium', 'nice', 'hysteria', 'emotion', 'report']",1,13,"['fact', 'muslimban', 'medium', 'nice', 'hysteria', 'emotion', 'report']",10,"['fact', 'muslimban', 'emotion', 'nice', 'medium', 'report', 'hysteria']",10,"['fact', 'muslimban', 'emotion', 'nice', 'medium', 'report', 'hysteria']","[759251, 2307193460, 2560148358]"
2,2,"['truth', 'ban', 'muslim']",2,2,"['truth', 'ban', 'muslim']",5,"['ban', 'trump', 'muslim', 'truth', 'protest_donald', 'muslimban', 'nobannowall', 'encourage_protest', 'protest', 'travel', 'list_tonight', 'country']",5,"['ban', 'trump', 'muslim', 'truth', 'protest_donald', 'muslimban', 'nobannowall', 'encourage_protest', 'protest', 'travel', 'list_tonight', 'country']","[14377605, 17494010, 19834403, 71278773]"
3,6,"['ban', 'obama', 'travel', 'muslim', 'isis', 'forget', 'speak', 'space', 'head', 'recall', 'orlando', 'guess', 'obamas', 'legacy', 'start', 'history', 'infiltrate', 'news', 'help', 'hypocrite', 'need', 'month', 'san', 'transparent', 'area', 'asassinated', 'iraqi', 'refugee', 'agree', 'attack', 'change', 'country', 'beradino', 'claim', 'clinton', 'displace', 'fake', 'flee', 'flush', 'urgency', 'chase']",3,6,"['ban', 'obama', 'travel', 'muslim', 'isis', 'forget', 'speak', 'space', 'head', 'recall', 'orlando', 'guess', 'obamas', 'legacy', 'start', 'history', 'infiltrate', 'news', 'help', 'hypocrite', 'need', 'month', 'san', 'transparent', 'area', 'asassinated', 'iraqi', 'refugee', 'agree', 'attack', 'change', 'country', 'beradino', 'claim', 'clinton', 'displace', 'fake', 'flee', 'flush', 'urgency', 'chase']",1,"['ban', 'obama', 'travel', 'isis', 'muslim', 'iraqi', 'flush', 'fake', 'displace', 'clinton', 'claim', 'chase', 'beradino', 'forget', 'asassinated', 'area', 'agree', 'urgency', 'refugee', 'change', 'guess', 'flee', 'help', 'transparent', 'start', 'speak', 'space', 'san', 'head', 'orlando', 'attack', 'recall', 'news', 'need', 'month', 'legacy', 'infiltrate', 'hypocrite', 'obamas', 'history']",1,"['ban', 'obama', 'travel', 'isis', 'muslim', 'iraqi', 'flush', 'fake', 'displace', 'clinton', 'claim', 'chase', 'beradino', 'forget', 'asassinated', 'area', 'agree', 'urgency', 'refugee', 'change', 'guess', 'flee', 'help', 'transparent', 'start', 'speak', 'space', 'san', 'head', 'orlando', 'attack', 'recall', 'news', 'need', 'month', 'legacy', 'infiltrate', 'hypocrite', 'obamas', 'history']","[13850422, 132944157, 2421761333, 2923435484]"
