absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
0,7,"['nobannowall', 'muslimban', 'pausethispresident', 'theresistance', 'ban']",0,7,"['nobannowall', 'muslimban', 'pausethispresident', 'theresistance', 'ban']",3,"['nobannowall', 'pausethispresident_nobannowall', 'nobannowall_theresistance', 'muslimban', 'pausethispresident', 'theresistance', 'notmypresident_nomuslimban', 'nobannowall_theresistance_nobannowall_theresistance', 'ban', 'travel_ban', 'order_traitor']",3,"['nobannowall', 'pausethispresident_nobannowall', 'nobannowall_theresistance', 'muslimban', 'pausethispresident', 'theresistance', 'notmypresident_nomuslimban', 'nobannowall_theresistance_nobannowall_theresistance', 'travel_ban', 'ban', 'order_traitor']","[25073877, 142893643, 221807143, 298602588, 405854923, 488174979, 497514115, 2267784241, 2936474595, 822215679726100480, 827579095731040256, 828324269335654401, 830019678810599424]"
1,6,"['muslimban', 'dumdum', 'altright']",2,12,"['muslimban', 'altright', 'tcot', 'travelban', 'shocking', 'real', 'fact', 'transgender', 'reza', 'aslan', 'stopislam', 'islam', 'aggression', 'whitegenocide', 'inbreede', 'wiretap', 'celebrity', 'maga', 'blm', 'liberalterrorism', 'gossip']",5,"['altright_tcot', 'altright', 'muslimban', 'tcot', 'shocking', 'fact', 'shocking_fact', 'shocking_fact_altright_tcot', 'real', 'travelban']",9,"['muslimban', 'altright_tcot', 'altright', 'tcot', 'fact', 'travelban', 'shocking_fact_altright_tcot', 'shocking_fact', 'shocking', 'real']","[18643437, 179284235, 313038011]"
2,6,"['muslimban', 'dumdum', 'altright']",1,6,"['muslimban', 'dumdum', 'country', 'constitution', 'read', 'trump', 'executive', 'religion', 'power']",1,"['muslimban', 'executive_power', 'dumdum', 'country', 'constitution']",1,"['muslimban', 'executive_power', 'dumdum', 'country', 'constitution']","[19782902, 189042188, 2543934432, 3117374427, 786271733741330432]"
