absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
0,12,"['muslim', 'ban', 'call', 'rep', 'reject', 'laurensangel', 'nominee']",1,0,"['muslim', 'rescind', 'ban', 'nominee', 'support', 'nobannowall']",6,"['rescind_muslim', 'ban', 'muslim', 'rescind', 'muslim_ban', 'support', 'ban_rescind_muslim', 'nominee', 'nobannowall']",13,"['rescind_muslim', 'muslim_ban', 'muslim', 'ban', 'rescind', 'truth', 'trump', 'truth_trump', 'country', 'language', 'wall', 'majority', 'obfuscate', 'street', 'journal']","[18916432, 447333886, 818910970567344128]"
1,7,"['ban', 'trump', 'travel', 'visa']",2,1,"['ban', 'trump', 'muslim', 'travel', 'country']",10,"['ban', 'muslim_ban', 'trump', 'ban_muslimmajority', 'trump_issue', 'country_break', 'travel', 'travel_ban', 'appeal_travel', 'halt_loose', 'visa', 'break', 'country']",4,"['ban', 'trump', 'muslim_ban', 'ban_muslimmajority', 'trump_issue', 'country_break', 'travel', 'appeal_travel', 'travel_ban', 'halt_loose', 'visa', 'country', 'break', 'issue']","[759251, 1367531, 9300262, 13850422, 14816587, 16129920, 49698134, 66502067, 85114590, 213118052, 333654052, 409578620, 1268963935, 2309122890, 2560148358, 2923435484, 3236548225, 3357570912, 4760751432, 703650805547732992, 705121858580934657, 760078912525402112, 787052947062611968]"
2,8,"['travelban', 'trump', 'donaldtrump', 'notmypresident', 'resist', 'nobannowall', 'british', 'banbercow', 'oafinoffice', 'parliament', 'medium', 'brexit', 'door', 'hypocrite', 'sit']",3,3,"['trump', 'travelban', 'ban', 'immigration', 'travel', 'donaldtrump']",3,"['travelban', 'trump', 'nobannowall', 'notmypresident', 'resist', 'donaldtrump', 'british', 'do_not', 'banbercow', 'oafinoffice', 'parliament', 'medium', 'brexit', 'sit', 'bad', 'do', 'immigration', 'door', 'unfit', 'attack', 'hypocrite', 'open', 'not']",4,"['ban', 'trump', 'muslim_ban', 'ban_muslimmajority', 'trump_issue', 'country_break', 'travel', 'appeal_travel', 'travel_ban', 'halt_loose', 'visa', 'country', 'break', 'issue']","[807095, 87818409, 337793554, 2785717076, 773439557173972997]"
3,4,"['nobannowall', 'ban', 'resist', 'muslimban', 'trump', 'muslim', 'impeachtrump', 'travel', 'theresistance', 'country', 'nodapl', 'court']",4,3,"['trump', 'travelban', 'ban', 'immigration', 'travel', 'donaldtrump']",8,"['nobannowall', 'travel_ban', 'ban', 'muslim_ban', 'resist', 'muslimban', 'trump', 'muslim', 'resist_impeachtrump', 'impeachtrump', 'travel', 'theresistance', 'country']",0,"['travel_ban', 'ban', 'trump', 'travel', 'immigration', 'immigration_ban', 'trumps', 'travelban', 'order', 'halt', 'hundred', 'appeal_court', 'reinstate']","[1917731, 241983890, 1187269560]"
4,4,"['nobannowall', 'ban', 'resist', 'muslimban', 'trump', 'muslim', 'impeachtrump', 'travel', 'theresistance', 'country', 'nodapl', 'court']",5,1,"['ban', 'trump', 'muslim', 'travel', 'country']",11,"['muslim_ban', 'ban', 'muslim', 'trump', 'rudygiuliani_admit', 'admit']",14,"['muslim_ban', 'ban', 'muslim', 'rudygiuliani_admit', 'trump', 'admit']","[23217907, 25444400, 216299334, 344569989, 710197152786604033, 742693503285747712]"
5,4,"['nobannowall', 'ban', 'resist', 'muslimban', 'trump', 'muslim', 'impeachtrump', 'travel', 'theresistance', 'country', 'nodapl', 'court']",7,1,"['ban', 'trump', 'muslim', 'travel', 'country']",11,"['muslim_ban', 'ban', 'muslim', 'trump', 'rudygiuliani_admit', 'admit']",13,"['rescind_muslim', 'muslim_ban', 'muslim', 'ban', 'rescind', 'truth', 'trump', 'truth_trump', 'country', 'language', 'wall', 'majority', 'obfuscate', 'street', 'journal']","[14377605, 71278773, 3498448812]"
6,12,"['muslim', 'ban', 'call', 'rep', 'reject', 'laurensangel', 'nominee']",6,12,"['rep', 'muslim', 'call', 'reject', 'ban']",0,"['reject_muslim', 'call_rep', 'call', 'reject', 'rep', 'muslim', 'ban']",1,"['reject_muslim', 'call_rep', 'ban', 'muslim', 'call', 'rep', 'reject']","[363972381, 3807228753, 712679539500036096]"
7,4,"['nobannowall', 'ban', 'resist', 'muslimban', 'trump', 'muslim', 'impeachtrump', 'travel', 'theresistance', 'country', 'nodapl', 'court']",0,2,"['nobannowall', 'ban', 'resist', 'muslimban', 'muslim', 'trump', 'impeachtrump', 'theresistance', 'travel', 'country', 'nodapl', 'court']",8,"['nobannowall', 'travel_ban', 'ban', 'muslim_ban', 'resist', 'muslimban', 'trump', 'muslim', 'resist_impeachtrump', 'impeachtrump', 'travel', 'theresistance', 'country']",2,"['nobannowall', 'ban', 'travel_ban', 'muslim_ban', 'resist', 'muslimban', 'muslim', 'resist_impeachtrump', 'trump', 'impeachtrump', 'theresistance', 'travel', 'country']","[80763, 16041234, 17186798, 17693700, 18108585, 24071066, 25073877, 26936449, 27197466, 35999514, 37230426, 38350333, 47851175, 54541190, 54771130, 55056268, 55749333, 58055829, 60790405, 65400596, 74110825, 82655806, 109571001, 110720467, 115299036, 135758782, 140630129, 160394636, 175902672, 177643365, 181146507, 188333155, 195990264, 207667138, 221807143, 248300454, 269200179, 275242794, 328006479, 418644486, 429569456, 449113878, 451777737, 554086956, 593203447, 752062248, 790380120, 840173180, 1184521344, 1270267800, 1270694778, 1292898836, 1393297200, 1400238956, 1452530100, 1471218535, 1535135726, 1544121236, 1646017092, 1906304816, 2164069776, 2208797931, 2229124866, 2364283927, 2369937402, 2379471354, 2394482912, 2747804790, 2921317948, 2956729296, 2972972819, 3018812896, 3068059601, 3069279631, 3813235755, 4790636002, 4862224323, 718664156178751489, 719763248975884288, 732989966058315776, 733697582958936064, 751736611260338176, 755223682423848960, 768955342076030976, 778800142728036352, 796883398249906176, 797948399152599041, 799798228342411265, 812511582609555456, 813510325626609665, 819185210432561152, 819395085855035392, 822241453753692160, 822975747866312704, 823731962204618753, 824790564134592513, 824897601606594562, 825421424986710016, 825899018743984128, 826293204907544576, 826493557255110656, 827135035908161536, 827579095731040256, 828016476325949440]"
8,10,"['tweet', 'people', 'congrats', 'congrat', 'nobannowall']",8,6,"['tweet', 'people', 'congrats', 'congrat', 'nobannowall']",0,"['reject_muslim', 'call_rep', 'call', 'reject', 'rep', 'muslim', 'ban']",8,"['tweet_people', 'tweet', 'people', 'congrats', 'tweet_people_tweet_people', 'congrat', 'nobannowall']","[15576928, 108146158, 108288348]"
